Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Doncic, Luka",PG,42.6,"$12,500",dal,lac,home, 99-114,34:31,   22pt 8rb 6as 3st 7to 4-14fg 14-16ft,22,8,6,3,0,7,0
"Williams, Louis",SG,32.2,"$7,200",lac,dal,away, 114-99,33:29,   21pt 6rb 6as 5to 4trey 7-14fg 3-4ft,21,6,6,0,0,5,4
"McRae, Jordan",SG,31.3,"$3,700",was,den,away, 104-117,23:53,   21pt 4rb 3as 1st 2to 3trey 9-16fg,21,4,3,1,0,2,3
"Murray, Jamal",PG,28.4,"$7,800",den,was,home, 117-104,24:56,   16pt 2rb 2as 3st 1bl 5to 7-12fg 2-2ft,16,2,2,3,1,5,0
"Beal, Bradley",SG,26.8,"$9,700",was,den,away, 104-117,29:39,   14pt 4rb 6as 1st 4to 2trey 6-15fg 0-2ft,14,4,6,1,0,4,2
"Morris, Monte",PG,24.1,"$3,700",den,was,home, 117-104,23:04,   10pt 3rb 5as 1bl 4-9fg 2-2ft,10,3,5,0,1,0,0
"Harris, Gary",SG,21.8,"$4,500",den,was,home, 117-104,28:22,   11pt 4rb 2as 1st 1trey 4-11fg 2-2ft,11,4,2,1,0,0,1
"Barea, Jose",PG,18.9,"$3,800",dal,lac,home, 99-114,16:21,   12pt 2rb 1as 1st 2trey 5-11fg,12,2,1,1,0,0,2
"Beasley, Malik",SG,17.8,"$3,500",den,was,home, 117-104,18:52,   9pt 4rb 2as 1st 2to 1trey 3-5fg 2-2ft,9,4,2,1,0,2,1
"Beverley, Patrick",PG,15.4,"$5,700",lac,dal,away, 114-99,20:49,   3pt 2rb 4as 1st 1bl 2to 1trey 1-6fg,3,2,4,1,1,2,1
"Curry, Seth",PG,14.4,"$3,500",dal,lac,home, 99-114,18:32,   13pt 2rb 1to 3trey 5-8fg,13,2,0,0,0,1,3
"McGruder, Rodney",SG,13.5,"$3,600",lac,dal,away, 114-99,22:13,   4pt 5rb 1as 1st 1to 2-4fg,4,5,1,1,0,1,0
"Smith, Ishmael",PG,10.1,"$4,200",was,den,away, 104-117,20:18,   2pt 3rb 3as 1-6fg,2,3,3,0,0,0,0
"Brunson, Jalen",PG,8.2,"$3,600",dal,lac,home, 99-114,13:00,   4pt 1rb 4as 3to 1-6fg 2-2ft,4,1,4,0,0,3,0
"Wright, Delon",SG,7.3,"$4,300",dal,lac,home, 99-114,17:54,   4pt 4rb 1as 3to 1-3fg 2-2ft,4,4,1,0,0,3,0
"Robinson, Jerome",PG,5.9,"$3,500",lac,dal,away, 114-99,10:14,   2pt 2rb 1as 1-2fg 0-2ft,2,2,1,0,0,0,0
"Thomas, Isaiah",PG,3,"$5,200",was,den,away, 104-117,21:51,   3pt 2as 3to 1-8fg 1-2ft,3,0,2,0,0,3,0
"Mann, Terance",SG,0,"$3,500",lac,dal,away, 114-99,3:00,   0pt 0-1fg,0,0,0,0,0,0,0
"Craig, Torrey",SG,0,"$3,900",den,was,home, 117-104,DNP,   ,0,0,0,0,0,0,0
"Dozier, PJ",SG,0,"$3,500",den,was,home, 117-104,NA,   ,0,0,0,0,0,0,0
"Walton Jr., Derrick",PG,0,"$3,500",lac,dal,away, 114-99,NA,   ,0,0,0,0,0,0,0
"Cleveland, Antonius",SG,0,"$3,500",dal,lac,home, 99-114,NA,   ,0,0,0,0,0,0,0
"Reaves, Josh",SG,0,"$3,500",dal,lac,home, 99-114,NA,   ,0,0,0,0,0,0,0
"Robinson, Justin",PG,0,"$3,500",was,den,away, 104-117,NA,   ,0,0,0,0,0,0,0
"Mathews, Garrison",SG,0,"$3,500",was,den,away, 104-117,NA,   ,0,0,0,0,0,0,0
"Shamet, Landry",PG,0,"$3,800",lac,dal,away, 114-99,NA,   ,0,0,0,0,0,0,0
"George, Paul",SF,49.8,"$9,500",lac,dal,away, 114-99,29:25,   26pt 4rb 2as 6st 2to 4trey 8-21fg 6-6ft,26,4,2,6,0,2,4
"Leonard, Kawhi",PF,44.6,"$10,200",lac,dal,away, 114-99,28:28,   28pt 8rb 4as 1st 2to 1trey 11-21fg 5-5ft,28,8,4,1,0,2,1
"Barton, Will",SF,38.6,"$6,700",den,was,home, 117-104,37:01,   17pt 8rb 8as 1bl 3to 2trey 7-13fg 1-1ft,17,8,8,0,1,3,2
"Porzingis, Kristaps",PF,34.5,"$8,500",dal,lac,home, 99-114,30:17,   15pt 10rb 1as 2st 1bl 3to 3trey 4-13fg 4-8ft,15,10,1,2,1,3,3
"Grant, Jerami",PF,32.3,"$3,700",den,was,home, 117-104,28:11,   20pt 4rb 1as 2st 1trey 7-13fg 5-7ft,20,4,1,2,0,0,1
"Bertans, Davis",SF,23,"$6,000",was,den,away, 104-117,22:32,   14pt 5rb 1bl 3trey 3-9fg 5-7ft,14,5,0,0,1,0,3
"Green, JaMychal",PF,21.1,"$3,800",lac,dal,away, 114-99,23:17,   5pt 8rb 1as 2bl 1to 1trey 2-6fg,5,8,1,0,2,1,1
"Brown Jr., Troy",SF,20.8,"$3,700",was,den,away, 104-117,22:49,   12pt 4rb 2as 1st 2to 5-8fg 2-2ft,12,4,2,1,0,2,0
"Hardaway Jr., Tim",SF,19.7,"$5,400",dal,lac,home, 99-114,29:28,   8pt 1rb 1as 3st 1trey 3-8fg 1-1ft,8,1,1,3,0,0,1
"Millsap, Paul",PF,19.1,"$6,600",den,was,home, 117-104,19:49,   8pt 3rb 1as 2bl 3-9fg 2-3ft,8,3,1,0,2,0,0
"Harkless, Maurice",SF,18.2,"$3,800",lac,dal,away, 114-99,20:13,   2pt 6rb 2as 2st 0-2fg 2-6ft,2,6,2,2,0,0,0
"Hachimura, Rui",PF,17.8,"$5,000",was,den,away, 104-117,22:01,   7pt 4rb 2as 1st 1trey 3-10fg,7,4,2,1,0,0,1
"Miles, C.J.",SF,15.2,"$3,500",was,den,away, 104-117,21:17,   5pt 1rb 2as 2st 1-7fg 3-5ft,5,1,2,2,0,0,0
"Finney-Smith, Dorian",SF,14.5,"$4,400",dal,lac,home, 99-114,27:58,   7pt 5rb 1as 1trey 2-5fg 2-2ft,7,5,1,0,0,0,1
"Kleber, Maxi",PF,9.2,"$4,200",dal,lac,home, 99-114,17:30,   0pt 6rb 1bl 1to 0-2fg,0,6,0,0,1,1,0
"Hernangomez, Juan",SF,7.6,"$3,500",den,was,home, 117-104,11:45,   3pt 3rb 2as 2to 1trey 1-2fg,3,3,2,0,0,2,1
