Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Beverley, Patrick",PG,53.9,"$4,400",lac,sas,away, 103-95,41:35,   18pt 12rb 5as 4st 1bl 1to 4trey 5-9fg 4-6ft,18,12,5,4,1,1,4
"Oladipo, Victor",SG,42.9,"$7,800",ind,cha,home, 120-95,31:53,   21pt 2rb 7as 3st 2trey 8-20fg 3-3ft,21,2,7,3,0,0,2
"Walker, Kemba",PG,41.3,"$9,300",cha,ind,away, 95-120,36:48,   23pt 4rb 7as 1st 1bl 3to 3trey 8-18fg 4-5ft,23,4,7,1,1,3,3
"Collison, Darren",PG,40.1,"$6,100",ind,cha,home, 120-95,30:19,   19pt 3rb 9as 2st 2to 3trey 8-14fg,19,3,9,2,0,2,3
"Rose, Derrick",PG,39.3,"$6,500",min,pho,home, 116-114,37:36,   31pt 4rb 3as 1to 12-24fg 7-9ft,31,4,3,0,0,1,0
"Booker, Devin",SG,29.2,"$8,100",pho,min,away, 114-116,32:57,   18pt 6rb 6as 5to 1trey 7-15fg 3-4ft,18,6,6,0,0,5,1
"Bradley, Avery",SG,28,"$3,600",lac,sas,away, 103-95,41:19,   15pt 5rb 4as 1st 2to 3trey 6-15fg,15,5,4,1,0,2,3
"White, Derrick",PG,26,"$5,800",sas,lac,home, 95-103,34:41,   9pt 5rb 4as 2st 1bl 4to 1trey 3-8fg 2-4ft,9,5,4,2,1,4,1
"DeRozan, DeMar",SG,22.9,"$8,400",sas,lac,home, 95-103,28:58,   8pt 7rb 3as 1st 1bl 4to 4-16fg,8,7,3,1,1,4,0
"Monk, Malik",SG,20.6,"$3,800",cha,ind,away, 95-120,15:47,   11pt 3rb 2as 2st 3to 2trey 4-9fg 1-2ft,11,3,2,2,0,3,2
"Belinelli, Marco",SG,20.1,"$4,500",sas,lac,home, 95-103,26:38,   12pt 3rb 3as 2trey 4-9fg 2-2ft,12,3,3,0,0,0,2
"Teague, Jeff",PG,20,"$6,300",min,pho,home, 116-114,23:36,   4pt 5rb 8as 2to 1trey 1-3fg 1-1ft,4,5,8,0,0,2,1
"Lamb, Jeremy",SG,19,"$6,000",cha,ind,away, 95-120,29:50,   10pt 5rb 2as 1bl 3to 2trey 4-13fg,10,5,2,0,1,3,2
"Crawford, Jamal",SG,17.9,"$3,500",pho,min,away, 114-116,21:05,   11pt 2rb 3as 1trey 4-8fg 2-5ft,11,2,3,0,0,0,1
"Mills, Patty",PG,16.6,"$4,200",sas,lac,home, 95-103,18:57,   6pt 3rb 2as 1st 1bl 2to 2-5fg 2-2ft,6,3,2,1,1,2,0
"Wiggins, Andrew",SG,15.2,"$6,700",min,pho,home, 116-114,39:58,   10pt 6rb 2to 1trey 3-14fg 3-7ft,10,6,0,0,0,2,1
"Joseph, Cory",PG,13.9,"$4,200",ind,cha,home, 120-95,23:04,   6pt 2rb 1as 1st 1bl 2to 2trey 2-5fg,6,2,1,1,1,2,2
"Gilgeous-Alexander, Shai",PG,13.3,"$3,600",lac,sas,away, 103-95,37:40,   7pt 4rb 3as 3to 1trey 3-15fg,7,4,3,0,0,3,1
"Melton, De'Anthony",PG,12.9,"$5,600",pho,min,away, 114-116,13:03,   4pt 2rb 3as 1st 1to 2-4fg,4,2,3,1,0,1,0
"Parker, Tony",PG,11.2,"$3,600",cha,ind,away, 95-120,15:21,   5pt 1rb 4as 1to 2-5fg 1-2ft,5,1,4,0,0,1,0
