Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Walker, Kemba",PG,54.2,"$9,300",cha,dal,away, 93-99,36:33,   30pt 11rb 6as 2st 4to 4trey 10-22fg 6-6ft,30,11,6,2,0,4,4,10,22,6,6
"LaVine, Zach",SG,53.1,"$7,300",chi,nor,home, 120-125,33:13,   28pt 8rb 7as 2bl 1to 3trey 10-21fg 5-8ft,28,8,7,0,2,1,3,10,21,5,8
"Harden, James",SG,51.7,"$14,000",hou,sac,away, 127-101,31:38,   36pt 6rb 1as 2st 1bl 2to 8trey 13-26fg 2-2ft,36,6,1,2,1,2,8,13,26,2,2
"Bledsoe, Eric",PG,50.7,"$7,500",mil,was,home, 148-129,26:42,   22pt 6rb 11as 2st 1to 4trey 8-16fg 2-2ft,22,6,11,2,0,1,4,8,16,2,2
"Beal, Bradley",SG,49.6,"$9,000",was,mil,away, 129-148,39:08,   30pt 8rb 4as 3st 1bl 8to 2trey 12-22fg 4-5ft,30,8,4,3,1,8,2,12,22,4,5
"Russell, D'Angelo",SG,47.7,"$8,300",bkn,den,home, 135-130,35:02,   27pt 6rb 11as 3to 6trey 10-23fg 1-1ft,27,6,11,0,0,3,6,10,23,1,1
"Doncic, Luka",SG,47.5,"$9,700",dal,cha,home, 99-93,34:40,   19pt 10rb 11as 1st 3to 2trey 5-20fg 7-9ft,19,10,11,1,0,3,2,5,20,7,9
"Thompson, Klay",SG,44.2,"$7,100",gsw,sas,home, 141-102,28:53,   26pt 1rb 6as 2st 1bl 1to 4trey 11-13fg,26,1,6,2,1,1,4,11,13,0,0
"Holiday, Jrue",SG,43.7,"$9,400",nor,chi,away, 125-120,33:07,   18pt 6rb 11as 1bl 1to 3trey 6-19fg 3-4ft,18,6,11,0,1,1,3,6,19,3,4
"Dunn, Kris",PG,41.8,"$6,600",chi,nor,home, 120-125,37:31,   18pt 4rb 8as 2st 1bl 2to 2trey 8-13fg,18,4,8,2,1,2,2,8,13,0,0
