Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"DeRozan, DeMar",SG,54.8,"$8,400",sas,nyk,away, 118-130,32:17,   32pt 9rb 4as 1st 1bl 12-22fg 8-10ft,32,9,4,1,1,0,0
"Smith Jr., Dennis",PG,51.7,"$7,200",nyk,sas,home, 130-118,29:44,   19pt 6rb 13as 2st 1trey 8-17fg 2-3ft,19,6,13,2,0,0,1
"Lowry, Kyle",PG,45.8,"$8,200",tor,orl,home, 98-113,35:44,   19pt 4rb 10as 4st 5to 2trey 6-13fg 5-5ft,19,4,10,4,0,5,2
"Dotson, Damyean",SG,39,"$4,300",nyk,sas,home, 130-118,36:36,   27pt 5rb 2as 1st 8trey 9-17fg 1-2ft,27,5,2,1,0,0,8
"Ross, Terrence",SG,38.3,"$5,500",orl,tor,away, 113-98,29:51,   28pt 9rb 1as 2to 3trey 9-21fg 7-7ft,28,9,1,0,0,2,3
"Augustin, D.J.",PG,30,"$4,400",orl,tor,away, 113-98,27:00,   12pt 5rb 8as 1st 3to 2trey 5-6fg 0-2ft,12,5,8,1,0,3,2
"Murray, Jamal",PG,29.8,"$6,800",den,lac,home, 123-96,24:26,   16pt 4rb 6as 1st 3to 2trey 6-12fg 2-3ft,16,4,6,1,0,3,2
"Williams, Louis",SG,29.4,"$7,900",lac,den,away, 96-123,24:06,   24pt 2rb 2as 1st 3to 1trey 6-15fg 11-11ft,24,2,2,1,0,3,1
"Morris, Monte",SG,27.7,"$5,100",den,lac,home, 123-96,22:16,   12pt 1rb 5as 2st 1bl 2to 2trey 5-8fg,12,1,5,2,1,2,2
"Grant, Jerian",PG,27.1,"$3,500",orl,tor,away, 113-98,21:00,   7pt 3rb 7as 1st 1bl 1trey 3-5fg,7,3,7,1,1,0,1
"Forbes, Bryn",PG,26.7,"$3,900",sas,nyk,away, 118-130,27:49,   15pt 6rb 3as 2trey 4-12fg 5-5ft,15,6,3,0,0,0,2
"Green, Danny",SG,21.2,"$4,700",tor,orl,home, 98-113,27:17,   10pt 6rb 4as 2to 2trey 4-9fg,10,6,4,0,0,2,2
"Beverley, Patrick",PG,21.2,"$5,400",lac,den,away, 96-123,25:33,   2pt 6rb 4as 2bl 0-1fg 2-2ft,2,6,4,0,2,0,0
"Mudiay, Emmanuel",PG,17.5,"$5,300",nyk,sas,home, 130-118,19:04,   19pt 1as 3to 3trey 8-10fg,19,0,1,0,0,3,3
"Shamet, Landry",PG,17.5,"$4,300",lac,den,away, 96-123,28:31,   8pt 1as 3st 1to 1trey 3-6fg 1-1ft,8,0,1,3,0,1,1
