Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Simmons, Ben",PG,57.4,"$8,000",phi,mil,home, 121-109,38:03,   15pt 7rb 14as 3st 2bl 2to 7-10fg 1-2ft,15,7,14,3,2,2,0
"Harden, James",SG,54.7,"$11,700",hou,gsw,away, 104-116,38:13,   24pt 6rb 11as 3st 2to 6trey 9-18fg 0-1ft,24,6,11,3,0,2,6
"Lee, Damion",SG,53,"$4,400",gsw,hou,home, 116-104,31:13,   22pt 15rb 4as 3st 2to 2trey 5-9fg 10-10ft,22,15,4,3,0,2,2
"Holiday, Jrue",SG,50.8,"$8,300",nor,den,away, 112-100,31:25,   20pt 4rb 8as 6st 4to 1trey 8-18fg 3-3ft,20,4,8,6,0,4,1
"VanVleet, Fred",SG,48.8,"$7,700",tor,bos,home, 102-118,36:34,   27pt 4rb 6as 4st 4to 2trey 11-21fg 3-3ft,27,4,6,4,0,4,2
"Middleton, Khris",SG,48.6,"$6,500",mil,phi,away, 109-121,33:00,   31pt 8rb 4as 1st 1to 5trey 12-21fg 2-2ft,31,8,4,1,0,1,5
"Westbrook, Russell",PG,47.9,"$9,600",hou,gsw,away, 104-116,39:49,   30pt 12rb 5as 4to 11-32fg 8-8ft,30,12,5,0,0,4,0
"Richardson, Josh",SG,35,"$5,600",phi,mil,home, 121-109,36:52,   18pt 5rb 4as 1st 1bl 1to 4trey 7-20fg,18,5,4,1,1,1,4
"Lowry, Kyle",PG,34.8,"$8,000",tor,bos,home, 102-118,37:20,   14pt 4rb 8as 2st 1bl 5to 3trey 4-13fg 3-4ft,14,4,8,2,1,5,3
"Russell, D'Angelo",SG,32.6,"$8,200",gsw,hou,home, 116-104,30:58,   20pt 3rb 4as 1st 1bl 3to 1trey 8-19fg 3-4ft,20,3,4,1,1,3,1
"Harris, Gary",SG,31.1,"$4,600",den,nor,home, 100-112,35:11,   15pt 3rb 1as 4st 1to 3trey 6-13fg,15,3,1,4,0,1,3
"Korkmaz, Furkan",SG,30.4,"$3,500",phi,mil,home, 121-109,25:10,   16pt 2rb 3st 1bl 4trey 5-10fg 2-4ft,16,2,0,3,1,0,4
"Beverley, Patrick",PG,29.8,"$4,600",lac,lal,away, 111-106,31:33,   8pt 9rb 4as 1st 1bl 1to 1trey 3-7fg 1-3ft,8,9,4,1,1,1,1
"Walker, Kemba",PG,26.2,"$7,600",bos,tor,away, 118-102,32:54,   22pt 1rb 4as 3to 5trey 8-16fg 1-2ft,22,1,4,0,0,3,5
"Hart, Josh",SG,25.8,"$4,700",nor,den,away, 112-100,29:34,   16pt 9rb 1to 4trey 5-10fg 2-2ft,16,9,0,0,0,1,4
"Caldwell-Pope, Kentavious",SG,24.4,"$3,900",lal,lac,home, 106-111,28:48,   13pt 2rb 2as 1st 1bl 2trey 5-8fg 1-2ft,13,2,2,1,1,0,2
"Ball, Lonzo",PG,24.3,"$4,800",nor,den,away, 112-100,36:17,   10pt 9rb 3as 1to 2trey 4-13fg,10,9,3,0,0,1,2
"Beasley, Malik",SG,23.8,"$3,500",den,nor,home, 100-112,21:53,   13pt 4rb 2as 1bl 3trey 5-14fg,13,4,2,0,1,0,3
"Hill, George",PG,21.2,"$4,100",mil,phi,away, 109-121,26:16,   15pt 1rb 2as 1bl 1to 3trey 6-7fg,15,1,2,0,1,1,3
"Morris, Monte",PG,21.2,"$3,900",den,nor,home, 100-112,22:06,   5pt 1rb 6as 1st 1bl 1trey 2-7fg,5,1,6,1,1,0,1
"Bowman, Ky",PG,21,"$3,600",gsw,hou,home, 116-104,21:43,   4pt 5rb 6as 1bl 1to 1-4fg 2-2ft,4,5,6,0,1,1,0
"Williams, Louis",SG,20.9,"$5,100",lac,lal,away, 111-106,28:55,   6pt 2rb 7as 2st 4to 1-6fg 4-6ft,6,2,7,2,0,4,0
"DiVincenzo, Donte",SG,18.8,"$5,100",mil,phi,away, 109-121,26:17,   6pt 4rb 2as 2st 1to 3-5fg,6,4,2,2,0,1,0
"Davis, Terence",SG,18.5,"$3,500",tor,bos,home, 102-118,21:50,   6pt 5rb 1as 2st 1to 2-4fg 2-2ft,6,5,1,2,0,1,0
"Murray, Jamal",PG,18.3,"$7,600",den,nor,home, 100-112,27:58,   8pt 4rb 3as 1st 2to 2-10fg 4-4ft,8,4,3,1,0,2,0
"Connaughton, Pat",SG,18.3,"$3,500",mil,phi,away, 109-121,11:29,   5pt 4rb 1as 2st 1bl 2to 2-5fg 1-1ft,5,4,1,2,1,2,0
"Rondo, Rajon",PG,17.1,"$4,400",lal,lac,home, 106-111,20:26,   7pt 3rb 5as 1st 4to 1trey 3-9fg,7,3,5,1,0,4,1
"Rivers, Austin",PG,17.1,"$3,700",hou,gsw,away, 104-116,19:11,   6pt 3rb 1as 2st 1trey 2-8fg 1-1ft,6,3,1,2,0,0,1
"Green, Danny",SG,16.1,"$3,900",lal,lac,home, 106-111,29:14,   6pt 3rb 1as 2st 1to 2trey 2-8fg,6,3,1,2,0,1,2
"Redick, J.J.",SG,15.6,"$4,800",nor,den,away, 112-100,21:45,   15pt 3rb 3to 2trey 5-10fg 3-3ft,15,3,0,0,0,3,2
"Wanamaker, Brad",PG,12.7,"$3,500",bos,tor,away, 118-102,20:20,   6pt 1rb 3as 1st 2to 2-6fg 2-2ft,6,1,3,1,0,2,0
