Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"VanVleet, Fred",PG,54.5,"$5,600",tor,nor,home, 130-122,44:21,   34pt 5rb 7as 2st 2to 5trey 12-18fg 5-6ft,34,5,7,2,0,2,5
"Green, Danny",SG,45.4,"$4,600",lal,lac,away, 102-112,32:20,   28pt 7rb 2st 1bl 7trey 10-14fg 1-1ft,28,7,0,2,1,0,7
"Lowry, Kyle",PG,39,"$7,600",tor,nor,home, 130-122,44:59,   22pt 5rb 6as 2st 4to 3trey 4-15fg 11-13ft,22,5,6,2,0,4,3
"Williams, Louis",SG,38.5,"$6,200",lac,lal,home, 112-102,36:44,   21pt 5rb 7as 1st 2to 1trey 8-14fg 4-4ft,21,5,7,1,0,2,1
"Hart, Josh",SG,30.5,"$4,200",nor,tor,away, 122-130,28:10,   15pt 10rb 1as 1bl 1to 3trey 4-9fg 4-4ft,15,10,1,0,1,1,3
"Holiday, Jrue",SG,27.8,"$8,700",nor,tor,away, 122-130,41:05,   13pt 4rb 6as 2bl 5to 1trey 6-15fg 0-2ft,13,4,6,0,2,5,1
"Beverley, Patrick",PG,24,"$5,100",lac,lal,home, 112-102,31:22,   2pt 10rb 6as 1bl 2to 1-7fg,2,10,6,0,1,2,0
"Ball, Lonzo",PG,20.5,"$7,100",nor,tor,away, 122-130,24:50,   8pt 5rb 5as 1to 2trey 2-7fg 2-2ft,8,5,5,0,0,1,2
"Davis, Terence",SG,20,"$3,500",tor,nor,home, 130-122,15:10,   5pt 5rb 2as 2st 1trey 2-6fg,5,5,2,2,0,0,1
"Redick, J.J.",SG,16.9,"$4,800",nor,tor,away, 122-130,27:03,   16pt 2rb 1as 3to 4trey 6-9fg,16,2,1,0,0,3,4
"Alexander-Walker, Nickeil",SG,15.8,"$3,600",nor,tor,away, 122-130,11:55,   3pt 4rb 2as 2st 1to 1trey 1-10fg,3,4,2,2,0,1,1
"Powell, Norman",SG,15.6,"$3,900",tor,nor,home, 130-122,28:38,   5pt 8rb 2as 2to 1trey 2-7fg,5,8,2,0,0,2,1
"Shamet, Landry",PG,14.6,"$4,200",lac,lal,home, 112-102,26:26,   8pt 3rb 2as 2trey 3-8fg,8,3,2,0,0,0,2
"Bradley, Avery",SG,9.6,"$4,000",lal,lac,away, 102-112,24:02,   8pt 3rb 2to 2trey 3-7fg,8,3,0,0,0,2,2
"Jackson, Frank",PG,9.5,"$3,900",nor,tor,away, 122-130,13:51,   9pt 1as 1to 1trey 3-6fg 2-2ft,9,0,1,0,0,1,1
"Cook, Quinn",PG,7.2,"$3,500",lal,lac,away, 102-112,16:56,   4pt 1rb 2as 1to 2-7fg,4,1,2,0,0,1,0
"Caldwell-Pope, Kentavious",SG,7.1,"$3,900",lal,lac,away, 102-112,27:23,   0pt 3rb 3as 1to 0-3fg,0,3,3,0,0,1,0
"Daniels, Troy",SG,6.5,"$3,600",lal,lac,away, 102-112,16:14,   6pt 1as 1to 1trey 2-6fg 1-1ft,6,0,1,0,0,1,1
"Norvell Jr., Zach",SG,0,"$3,500",lal,lac,away, 102-112,DNP,   ,0,0,0,0,0,0,0
"Caruso, Alex",PG,0,"$4,400",lal,lac,away, 102-112,DNP,   ,0,0,0,0,0,0,0
"Thomas, Matt",SG,0,"$3,500",tor,nor,home, 130-122,DNP,   ,0,0,0,0,0,0,0
"Mann, Terance",SG,0,"$3,500",lac,lal,home, 112-102,DNP,   ,0,0,0,0,0,0,0
"Robinson, Jerome",PG,0,"$3,500",lac,lal,home, 112-102,DNP,   ,0,0,0,0,0,0,0
"Rondo, Rajon",PG,0,"$4,900",lal,lac,away, 102-112,NA,   ,0,0,0,0,0,0,0
"Walton Jr., Derrick",PG,0,"$3,500",lac,lal,home, 112-102,NA,   ,0,0,0,0,0,0,0
"Horton-Tucker, Talen",SG,0,"$3,500",lal,lac,away, 102-112,NA,   ,0,0,0,0,0,0,0
"Gray, Josh",PG,0,"$3,500",nor,tor,away, 122-130,NA,   ,0,0,0,0,0,0,0
"McGruder, Rodney",SG,0,"$3,500",lac,lal,home, 112-102,NA,   ,0,0,0,0,0,0,0
"McCaw, Patrick",SG,0,"$3,500",tor,nor,home, 130-122,NA,   ,0,0,0,0,0,0,0
"Siakam, Pascal",SF,62.1,"$8,000",tor,nor,home, 130-122,38:09,   34pt 18rb 5as 1bl 4to 2trey 11-26fg 10-11ft,34,18,5,0,1,4,2
"Davis, Anthony",PF,50.5,"$12,100",lal,lac,away, 102-112,37:22,   25pt 10rb 5as 1st 2bl 3to 8-21fg 9-14ft,25,10,5,1,2,3,0
