Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Leonard, Kawhi",NA,68.4,N/A,tor,gsw,away, 105-92,40:34,   36pt 12rb 2as 4st 1bl 5trey 11-22fg 9-9ft,36,12,2,4,1,0,5
"Green, Draymond",NA,42.8,N/A,gsw,tor,home, 92-105,40:34,   10pt 9rb 12as 1st 2bl 5to 3-6fg 4-4ft,10,9,12,1,2,5,0
"Curry, Stephen",NA,40.8,N/A,gsw,tor,home, 92-105,42:59,   27pt 4rb 6as 1st 3to 2trey 9-22fg 7-8ft,27,4,6,1,0,3,2
"Thompson, Klay",NA,34.6,N/A,gsw,tor,home, 92-105,42:10,   28pt 3rb 2as 6trey 11-18fg,28,3,2,0,0,0,6
"Ibaka, Serge",NA,31.3,N/A,tor,gsw,away, 105-92,21:43,   20pt 4rb 1as 2bl 1to 1trey 9-12fg 1-1ft,20,4,1,0,2,1,1
"Lowry, Kyle",NA,29.9,N/A,tor,gsw,away, 105-92,37:18,   10pt 2rb 7as 3st 2to 3-12fg 4-4ft,10,2,7,3,0,2,0
"Siakam, Pascal",NA,28.5,N/A,tor,gsw,away, 105-92,41:20,   19pt 5rb 1as 1bl 1to 6-14fg 7-8ft,19,5,1,0,1,1,0
"Iguodala, Andre",NA,25.3,N/A,gsw,tor,home, 92-105,37:57,   3pt 4rb 3as 3st 2bl 2to 1-6fg 1-2ft,3,4,3,3,2,2,0
"Gasol, Marc",NA,23.9,N/A,tor,gsw,away, 105-92,27:49,   9pt 7rb 3as 1st 1to 1trey 3-8fg 2-2ft,9,7,3,1,0,1,1
"VanVleet, Fred",NA,19.8,N/A,tor,gsw,away, 105-92,28:56,   8pt 4rb 6as 2to 2trey 3-9fg,8,4,6,0,0,2,2
"Looney, Kevon",NA,17.7,N/A,gsw,tor,home, 92-105,20:24,   10pt 6rb 1as 1to 5-8fg 0-2ft,10,6,1,0,0,1,0
"Green, Danny",NA,15.1,N/A,tor,gsw,away, 105-92,29:44,   3pt 3rb 1as 3st 2to 1trey 1-8fg,3,3,1,3,0,2,1
"Cousins, DeMarcus",NA,14.3,N/A,gsw,tor,home, 92-105,14:48,   6pt 4rb 1as 2bl 4to 3-6fg 0-1ft,6,4,1,0,2,4,0
"Livingston, Shaun",NA,13.1,N/A,gsw,tor,home, 92-105,15:11,   6pt 3rb 1as 1st 1to 2-3fg 2-2ft,6,3,1,1,0,1,0
"McKinnie, Alfonzo",NA,4.4,N/A,gsw,tor,home, 92-105,8:30,   2pt 2rb 1-4fg 0-2ft,2,2,0,0,0,0,0
"Cook, Quinn",NA,1.2,N/A,gsw,tor,home, 92-105,6:40,   0pt 1rb 0-5fg,0,1,0,0,0,0,0
