Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Booker, Devin",SG,69,"$10,700",pho,was,home, 121-124,36:54,   50pt 10rb 4as 1st 1bl 5to 3trey 19-29fg 9-10ft,50,10,4,1,1,5,3,19,29,9,10
"Curry, Stephen",PG,58.5,"$9,300",gsw,mem,away, 118-103,33:23,   28pt 10rb 7as 1st 2bl 1to 6trey 7-20fg 8-9ft,28,10,7,1,2,1,6,7,20,8,9
"Westbrook, Russell",PG,55.2,"$11,200",okc,ind,home, 107-99,36:51,   17pt 11rb 12as 2st 1bl 2to 2trey 6-15fg 3-4ft,17,11,12,2,1,2,2,6,15,3,4
"Harrison, Shaquille",PG,42,"$4,800",chi,por,home, 98-118,29:57,   21pt 10rb 2as 2st 1trey 10-17fg 0-1ft,21,10,2,2,0,0,1,10,17,0,1
"Beal, Bradley",SG,40.4,"$10,000",was,pho,away, 124-121,36:52,   28pt 2rb 4as 1st 1bl 2to 5trey 11-22fg 1-4ft,28,2,4,1,1,2,5,11,22,1,4
"Conley, Mike",PG,34.2,"$9,000",mem,gsw,home, 103-118,32:09,   22pt 1rb 8as 1to 2trey 6-14fg 8-10ft,22,1,8,0,0,1,2,6,14,8,10
"Selden, Wayne",SG,32.4,"$3,600",chi,por,home, 98-118,33:52,   11pt 12rb 4as 1st 2to 1trey 5-15fg,11,12,4,1,0,2,1,5,15,0,0
"Crawford, Jamal",SG,29.1,"$3,500",pho,was,home, 121-124,29:42,   12pt 3rb 7as 1bl 2trey 4-11fg 2-3ft,12,3,7,0,1,0,2,4,11,2,3
"Holiday, Justin",SG,28.8,"$4,400",mem,gsw,home, 103-118,35:28,   9pt 4rb 5st 3trey 3-10fg 0-1ft,9,4,0,5,0,0,3,3,10,0,1
"Rubio, Ricky",PG,28,"$6,800",uta,lal,home, 115-100,28:38,   10pt 5rb 8as 3-9fg 4-5ft,10,5,8,0,0,0,0,3,9,4,5
"Lillard, Damian",PG,27.7,"$11,000",por,chi,away, 118-98,28:27,   11pt 6rb 7as 1to 1trey 3-12fg 4-4ft,11,6,7,0,0,1,1,3,12,4,4
"Satoransky, Tomas",PG,26.2,"$6,900",was,pho,away, 124-121,38:23,   16pt 1rb 2as 3st 3to 3-5fg 10-12ft,16,1,2,3,0,3,0,3,5,10,12
"Curry, Seth",PG,24.6,"$4,900",por,chi,away, 118-98,23:54,   20pt 3rb 2as 2to 4trey 8-11fg,20,3,2,0,0,2,4,8,11,0,0
"McRae, Jordan",SG,24.6,"$3,500",was,pho,away, 124-121,24:53,   21pt 3rb 8-10fg 5-5ft,21,3,0,0,0,0,0,8,10,5,5
"Matthews, Wes",SG,23.1,"$4,400",ind,okc,away, 99-107,31:59,   10pt 3rb 3as 1st 1bl 1to 2trey 4-15fg,10,3,3,1,1,1,2,4,15,0,0
"Wright, Delon",SG,22.9,"$6,200",mem,gsw,home, 103-118,25:00,   5pt 2rb 5as 3st 1to 2-10fg 1-2ft,5,2,5,3,0,1,0,2,10,1,2
"Caruso, Alex",PG,22.2,"$4,200",lal,uta,away, 100-115,26:11,   13pt 1rb 4as 1st 1to 2trey 5-10fg 1-2ft,13,1,4,1,0,1,2,5,10,1,2
"Daniels, Troy",SG,21,"$3,500",pho,was,home, 121-124,22:06,   15pt 5rb 5trey 5-12fg,15,5,0,0,0,0,5,5,12,0,0
"Collison, Darren",PG,20.6,"$6,600",ind,okc,away, 99-107,24:22,   8pt 3rb 6as 1st 3to 2trey 3-10fg,8,3,6,1,0,3,2,3,10,0,0
"Rondo, Rajon",PG,20,"$6,500",lal,uta,away, 100-115,25:54,   3pt 5rb 6as 1st 1to 1trey 1-11fg,3,5,6,1,0,1,1,1,11,0,0
"Mitchell, Donovan",SG,19.8,"$9,000",uta,lal,home, 115-100,34:31,   11pt 4rb 4as 2to 1trey 3-11fg 4-6ft,11,4,4,0,0,2,1,3,11,4,6
"Blakeney, Antonio",SG,18.6,"$3,500",chi,por,home, 98-118,32:24,   10pt 3rb 4as 1to 3-11fg 4-6ft,10,3,4,0,0,1,0,3,11,4,6
"Dorsey, Tyler",SG,18.2,"$5,000",mem,gsw,home, 103-118,29:54,   8pt 6rb 2as 1trey 3-9fg 1-1ft,8,6,2,0,0,0,1,3,9,1,1
"Thompson, Klay",SG,17.2,"$7,900",gsw,mem,away, 118-103,35:05,   13pt 1rb 2as 3trey 5-12fg,13,1,2,0,0,0,3,5,12,0,0
"Arcidiacono, Ryan",PG,16.5,"$3,600",chi,por,home, 98-118,19:26,   12pt 3as 2trey 5-11fg,12,0,3,0,0,0,2,5,11,0,0
"Melton, De'Anthony",PG,16.4,"$3,500",pho,was,home, 121-124,21:37,   4pt 2rb 4as 2st 2to 2-4fg,4,2,4,2,0,2,0,2,4,0,0
"Livingston, Shaun",PG,16.1,"$3,500",gsw,mem,away, 118-103,14:20,   8pt 3rb 3as 4-6fg,8,3,3,0,0,0,0,4,6,0,0
"Caldwell-Pope, Kentavious",SG,14.8,"$5,400",lal,uta,away, 100-115,27:33,   7pt 4rb 1st 1trey 2-9fg 2-2ft,7,4,0,1,0,0,1,2,9,2,2
"Ferguson, Terrance",SG,14.6,"$3,700",okc,ind,home, 107-99,38:22,   5pt 3rb 2as 1bl 1trey 2-9fg,5,3,2,0,1,0,1,2,9,0,0
"Machado, Scott",SG,14.5,"$3,500",lal,uta,away, 100-115,15:21,   7pt 3as 1st 1trey 3-4fg,7,0,3,1,0,0,1,3,4,0,0
"Luwawu, Timothe",SG,12.2,"$3,500",chi,por,home, 98-118,21:28,   8pt 1rb 2as 1trey 3-8fg 1-1ft,8,1,2,0,0,0,1,3,8,1,1
"Korver, Kyle",SG,12,"$3,700",uta,lal,home, 115-100,14:35,   3pt 5rb 2as 1trey 1-4fg,3,5,2,0,0,0,1,1,4,0,0
"Schroder, Dennis",SG,11.9,"$5,900",okc,ind,home, 107-99,20:36,   3pt 2rb 3as 1st 1to 0-7fg 3-4ft,3,2,3,1,0,1,0,0,7,3,4
"Joseph, Cory",PG,9.3,"$4,400",ind,okc,away, 99-107,24:31,   0pt 4rb 3as 0-4fg,0,4,3,0,0,0,0,0,4,0,0
"Cook, Quinn",PG,9.2,"$3,500",gsw,mem,away, 118-103,15:53,   9pt 1rb 1to 3trey 3-3fg,9,1,0,0,0,1,3,3,3,0,0
"Neto, Raul",PG,9.2,"$3,500",uta,lal,home, 115-100,13:30,   4pt 1rb 2as 1bl 2to 2-3fg,4,1,2,0,1,2,0,2,3,0,0
