Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Irving, Kyrie",PG,61.7,"$9,000",bos,ind,home, 99-91,39:20,   37pt 6rb 7as 1st 2bl 2to 6trey 15-26fg 1-2ft,37,6,7,1,2,2,6
"Harden, James",SG,57.6,"$12,600",hou,uta,home, 118-98,33:26,   32pt 13rb 10as 1bl 8to 6trey 11-24fg 4-5ft,32,13,10,0,1,8,6
"Bledsoe, Eric",PG,51.8,"$7,600",mil,det,home, 120-99,28:25,   27pt 4rb 6as 3st 1bl 1to 3trey 11-19fg 2-3ft,27,4,6,3,1,1,3
"Rubio, Ricky",PG,45.3,"$6,500",uta,hou,away, 98-118,31:47,   17pt 4rb 9as 4st 2to 1trey 7-17fg 2-2ft,17,4,9,4,0,2,1
"Connaughton, Pat",SG,45.3,"$4,600",mil,det,home, 120-99,30:58,   18pt 9rb 3as 4bl 2trey 8-10fg,18,9,3,0,4,0,2
"Middleton, Khris",SG,43,"$7,100",mil,det,home, 120-99,32:58,   24pt 5rb 8as 1st 2to 2trey 7-15fg 8-8ft,24,5,8,1,0,2,2
"Jackson, Reggie",PG,32.6,"$5,100",det,mil,away, 99-120,24:59,   18pt 3rb 8as 1to 1trey 7-16fg 3-4ft,18,3,8,0,0,1,1
"Paul, Chris",PG,32.3,"$8,300",hou,uta,home, 118-98,28:31,   17pt 4rb 3as 2st 2bl 6to 1trey 5-11fg 6-6ft,17,4,3,2,2,6,1
"Kennard, Luke",SG,29.8,"$4,100",det,mil,away, 99-120,35:05,   19pt 4rb 2as 1st 4trey 6-13fg 3-3ft,19,4,2,1,0,0,4
"Gordon, Eric",SG,25.2,"$4,500",hou,uta,home, 118-98,29:47,   16pt 1rb 2st 1bl 1to 3trey 6-11fg 1-1ft,16,1,0,2,1,1,3
"Mitchell, Donovan",SG,23.2,"$8,800",uta,hou,away, 98-118,36:53,   11pt 1rb 6as 2st 4to 1trey 5-19fg 0-2ft,11,1,6,2,0,4,1
"Smith, Ishmael",PG,20.7,"$4,300",det,mil,away, 99-120,21:27,   7pt 6rb 5as 1to 3-13fg 1-2ft,7,6,5,0,0,1,0
"Hill, George",PG,18.9,"$4,200",mil,det,home, 120-99,25:38,   4pt 2rb 5as 2bl 1to 2-7fg,4,2,5,0,2,1,0
"Rozier, Terry",PG,18.2,"$4,000",bos,ind,home, 99-91,20:35,   4pt 6rb 6as 2to 2-5fg,4,6,6,0,0,2,0
"Ellington, Wayne",SG,17.8,"$4,500",det,mil,away, 99-120,35:10,   8pt 4rb 2as 1st 1to 2trey 3-10fg,8,4,2,1,0,1,2
"Brown, Jaylen",SG,17.3,"$4,600",bos,ind,home, 99-91,26:54,   6pt 9rb 1as 1to 3-6fg,6,9,1,0,0,1,0
"Brown, Bruce",SG,16.9,"$3,500",det,mil,away, 99-120,16:45,   5pt 2rb 1as 2st 1bl 1to 1trey 2-4fg,5,2,1,2,1,1,1
"Collison, Darren",PG,16.9,"$5,000",ind,bos,away, 91-99,32:59,   13pt 2rb 3as 3to 1trey 6-10fg,13,2,3,0,0,3,1
"Galloway, Langston",SG,16.4,"$3,500",det,mil,away, 99-120,31:26,   9pt 2rb 2bl 1to 3trey 3-7fg,9,2,0,0,2,1,3
"Matthews, Wes",SG,15.1,"$3,800",ind,bos,away, 91-99,27:59,   6pt 3rb 5as 2to 2trey 2-8fg,6,3,5,0,0,2,2
"Brown, Sterling",SG,14.1,"$4,500",mil,det,home, 120-99,25:59,   8pt 3rb 1as 1bl 2to 1trey 3-5fg 1-3ft,8,3,1,0,1,2,1
"Rivers, Austin",SG,10.7,"$3,600",hou,uta,home, 118-98,20:57,   8pt 1rb 1as 2trey 2-8fg 2-2ft,8,1,1,0,0,0,2
"Joseph, Cory",PG,10.2,"$4,300",ind,bos,away, 91-99,20:47,   6pt 1rb 1st 3-6fg,6,1,0,1,0,0,0
"Allen, Grayson",SG,10.2,"$3,900",uta,hou,away, 98-118,9:31,   9pt 1rb 2-5fg 5-7ft,9,1,0,0,0,0,0
"Thomas, Khyri",SG,3,"$3,500",det,mil,away, 99-120,1:34,   0pt 1st 0-2fg,0,0,0,1,0,0,0
"Neto, Raul",PG,2,"$3,900",uta,hou,away, 98-118,5:01,   2pt 1-3fg,2,0,0,0,0,0,0
"Holiday, Aaron",SG,2,"$3,500",ind,bos,away, 91-99,5:31,   2pt 1-3fg,2,0,0,0,0,0,0
"Shumpert, Iman",SG,1.5,"$3,500",hou,uta,home, 118-98,10:29,   0pt 1as 0-1fg,0,0,1,0,0,0,0
"Korver, Kyle",SG,1.2,"$3,700",uta,hou,away, 98-118,2:14,   0pt 1rb 0-2fg,0,1,0,0,0,0,0
"Brogdon, Malcolm",SG,0,"$6,200",mil,det,home, 120-99,DNP,   ,0,0,0,0,0,0,0
"Sumner, Edmond",PG,0,"$3,500",ind,bos,away, 91-99,DNP,   ,0,0,0,0,0,0,0
"Snell, Tony",SG,0,"$3,500",mil,det,home, 120-99,DNP,   ,0,0,0,0,0,0,0
"Wanamaker, Brad",PG,0,"$3,500",bos,ind,home, 99-91,DNP,   ,0,0,0,0,0,0,0
"Smart, Marcus",SG,0,"$3,500",bos,ind,home, 99-91,NA,   ,0,0,0,0,0,0,0
"Exum, Dante",PG,0,"$3,500",uta,hou,away, 98-118,NA,   ,0,0,0,0,0,0,0
"DiVincenzo, Donte",SG,0,"$3,500",mil,det,home, 120-99,NA,   ,0,0,0,0,0,0,0
"Gibson, Jonathan",PG,0,"$3,500",bos,ind,home, 99-91,NA,   ,0,0,0,0,0,0,0
"Mykhailiuk, Sviatoslav",SG,0,"$3,500",det,mil,away, 99-120,NA,   ,0,0,0,0,0,0,0
"Chiozza, Chris",PG,0,"$3,500",hou,uta,home, 118-98,NA,   ,0,0,0,0,0,0,0
"Antetokounmpo, Giannis",SF,47.4,"$12,900",mil,det,home, 120-99,29:50,   26pt 12rb 4as 2bl 5to 1trey 11-18fg 3-5ft,26,12,4,0,2,5,1
"Bogdanovic, Bojan",SF,47.1,"$6,200",ind,bos,away, 91-99,35:22,   23pt 8rb 3as 4st 2to 4trey 9-21fg 1-2ft,23,8,3,4,0,2,4
